year,month,pickup_location_id,dropoff_location_id,p90_travel_time
2019,10,115,84,1384617
2019,10,245,214,1384180
2019,6,101,61,1383741
2019,10,251,206,1383554
2019,10,23,23,1383027
2019,6,146,92,1376151
2019,6,193,43,1367848
2019,6,215,121,1367090
2019,6,73,90,1364780
2019,6,131,16,1363910
2019,6,137,92,1352044
2019,6,228,227,1345444
2019,6,106,39,1317420
2019,6,80,137,1303906
2019,10,245,84,1297992
2019,10,99,44,1297359
2019,6,149,107,1297278
2019,6,121,215,1294726
2019,6,193,121,1289886
2019,6,28,101,1286120
2019,6,260,95,1285785
2019,6,171,121,1282262
2019,6,191,191,1281930
2019,5,264,252,1278348
2019,6,234,121,1276611
2019,6,231,179,1269146
2019,6,135,140,1262331
2019,6,129,38,1254714
2019,6,121,171,1221091
2019,6,98,179,1218667
2019,6,175,73,1218271
2019,6,198,137,1214276
2019,6,7,170,1212355
2019,10,176,206,1212126
2019,10,204,206,1211219
2019,6,197,73,1208637
2019,6,137,171,1204533
2019,6,10,9,1201102
2019,6,258,102,1197597
2019,6,135,9,1191953
2019,6,198,192,1180790
2019,6,171,68,1176889
2019,6,82,121,1173404
2019,6,83,43,1167614
2019,10,84,206,1125204
2019,6,197,134,1124474
2019,10,204,99,1124153
2019,10,221,214,1123955
2019,6,53,131,1121835
2019,6,193,130,1112634
2019,6,149,227,1108338
2019,6,80,244,1102313
2019,6,61,80,1102174
2019,6,101,92,1086340
2019,6,45,56,1046902
2019,6,107,56,1045348
2019,12,25,169,1039717
2019,6,73,121,1038732
2019,10,206,204,1038310
2019,6,19,134,1028709
2019,6,98,121,1025336
2019,6,75,82,1020920
2019,6,129,63,1007197
2019,6,92,121,996894
2019,6,107,137,978859
2019,6,19,77,969498
2019,6,131,260,968087
2019,6,121,192,963412
2019,6,134,130,962687
2019,6,123,11,958863
2019,10,256,26,958632
2019,10,5,251,952117
2019,10,6,44,952041
2019,10,23,245,951691
2019,10,1,156,951397
2019,10,251,251,950740
2019,10,99,5,950649
2019,6,197,175,947697
2019,6,43,193,945265
2019,6,149,150,944044
2019,6,26,162,940989
2019,6,228,14,940000
2019,6,19,129,939755
2019,4,47,32,936500
2019,6,218,130,919869
2019,6,180,216,907542
2019,6,102,171,898705
2019,6,148,179,895944
2019,6,11,14,895024
2019,6,140,173,881893
2019,6,227,228,875244
2019,6,193,82,871847
2019,10,245,204,867514
2019,6,74,129,867400
2019,6,260,265,865710
2019,10,115,118,865708
2019,6,7,131,857492
2019,6,101,258,856386
2019,4,264,170,843999
2019,6,122,215,839854
2019,6,192,198,838265
2019,6,141,171,834775
2019,4,35,15,833601
2019,6,28,265,831380
2019,6,16,121,809157
2019,6,216,180,800542
2019,6,102,73,798417
2019,6,56,140,780490
2019,10,206,1,780250
2019,6,134,197,779748
2019,10,118,206,779481
2019,10,172,187,779466
2019,10,187,204,779182
2019,10,214,206,778944
2019,6,19,122,777311
2019,6,63,101,771088
2019,6,227,14,765613
2019,6,171,256,762723
2019,6,129,121,761491
2019,6,43,83,755831
